taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
LCAT,5847,N,F,CORINNA,N,1251,1984-03-16,3,NA,CB,Duke Lemur Center,2,138,1983-10-30,10,2543,LYSIS,LCAT,1976-03-29,7.59,5643,PHEIDIPPEDES,LCAT,1968-03-30,15.59,2010-05-05,26.15,NA,NA,26.15,13,NA,2197,1987-04-21,4,1131,161.57,37.18,37,3.1,NA,NA,NA,8415,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,585,N,F,CALPURNIA,N,331,1971-03-15,3,NA,CB,Duke Lemur Center,1,138,1970-10-28,10,546,BALIN,LCAT,1968-12-18,1.86,527,SOCRATES,LCAT,1958-09-01,12.16,NA,NA,NA,10.12,10.12,11,NA,3150,1980-11-17,11,3535,505,116.22,116,9.68,NA,NA,NA,NA,1.32,adult,P,138,1980-10-19,1981-03-06,109,0.789855072,2
LCAT,5853,N,F,SAPPHO-C,N,1263,1984-03-22,3,NA,CB,Duke Lemur Center,2,138,1983-11-05,11,2583,SAPPHO,LCAT,1977-03-11,6.66,MULT2,NA,NA,NA,NA,1984-03-29,0.02,NA,NA,0.02,NA,NA,79,1984-03-29,3,7,1,0.23,0,0.02,NA,NA,NA,0,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,5879,N,F,CHIQUITA,N,69,1984-04-12,4,NA,CB,Duke Lemur Center,1,127,1983-12-07,12,5721,EVITA,EMON,1981-10-01,2.18,5720,JUAN,EMON,1978-10-01,5.19,1995-12-24,11.71,NA,NA,11.71,6,NA,171.5,1984-05-18,5,36,5.14,1.18,1,0.1,NA,NA,NA,4237,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5885,N,M,TIMON,N,739,1979-03-12,3,NA,CB,Fort Worth Zoological Park,NA,138,1978-10-25,10,oi_45,NA,NA,NA,NA,oi_44,NA,NA,NA,NA,1985-07-24,6.37,NA,NA,6.37,2,NA,2697,1984-10-11,10,2040,291.43,67.07,67,5.59,NA,NA,NA,286,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5912,N,M,LEONIDAS,N,1308,1984-05-01,5,NA,CB,Duke Lemur Center,1,138,1983-12-15,12,5578,GALATEA,LCAT,1981-03-20,2.74,5511,THALES,LCAT,1980-03-17,3.75,NA,NA,NA,11.83,11.83,NA,NA,2751,1990-07-09,7,2260,322.86,74.3,74,6.19,NA,NA,NA,NA,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5914,N,M,LYCIPPUS,N,1311,1984-05-04,5,NA,CB,Duke Lemur Center,2,138,1983-12-18,12,1510,KAMALA,LCAT,1972-01-15,11.93,4515,SOPHOCLES,LCAT,1974-11-19,9.08,1989-12-13,5.61,NA,NA,5.61,NA,NA,2070,1985-10-09,10,523,74.71,17.19,17,1.43,NA,NA,NA,1526,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5928,N,F,ALKESTIS,N,1316,1984-05-09,5,NA,CB,Duke Lemur Center,1,138,1983-12-23,12,5556,OLYMPIAS,LCAT,1980-06-27,3.49,5613,YODA,LCAT,1981-04-21,2.67,1988-07-01,4.15,NA,NA,4.15,NA,NA,2413,1986-08-09,8,822,117.43,27.02,27,2.25,NA,NA,NA,692,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5938,N,M,DION,N,1322,1984-05-30,5,NA,CB,Duke Lemur Center,2,138,1984-01-13,1,5819,ATOSSA,LCAT,1981-06-01,2.62,4517,ION,LCAT,1974-03-24,9.81,1996-09-05,12.28,NA,NA,12.28,3,NA,1221,1984-11-08,11,162,23.14,5.33,5,0.44,NA,NA,NA,4319,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5939,N,M,HIERON,N,1323,1984-05-30,5,NA,CB,Duke Lemur Center,2,138,1984-01-13,1,5819,ATOSSA,LCAT,1981-06-01,2.62,4517,ION,LCAT,1974-03-24,9.81,1998-07-15,14.13,NA,NA,14.13,4,NA,1122,1984-11-08,11,162,23.14,5.33,5,0.44,NA,NA,NA,4997,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,5952,N,F,CONCEPCION,N,70,1984-10-15,10,NA,CB,Duke Lemur Center,1,127,1984-06-10,6,5715,ISABELLA,EMON,1978-10-01,5.7,5714,FERDINAND,EMON,1978-10-01,5.7,2011-06-18,26.69,NA,NA,26.69,10,NA,871,1985-02-18,2,126,18,4.14,4,0.35,NA,NA,NA,9616,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,5955,N,M,FIDEL,N,71,1985-01-13,1,NA,CB,Duke Lemur Center,1,127,1984-09-08,9,5717,ESPERANZA,EMON,1977-10-01,6.94,5716,PABLO,EMON,1977-10-01,6.94,2006-06-21,21.45,NA,NA,21.45,7,NA,200,1985-02-06,2,24,3.43,0.79,0,0.07,NA,NA,NA,7805,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5962,N,M,MICON,N,1361,1985-03-07,3,NA,CB,Duke Lemur Center,1,138,1984-10-20,10,2543,LYSIS,LCAT,1976-03-29,8.57,5511,THALES,LCAT,1980-03-17,4.6,2009-11-14,24.71,NA,NA,24.71,NA,NA,2243,1987-01-08,1,672,96,22.09,22,1.84,NA,NA,NA,8346,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5969,N,M,SELAUCIUS,N,1375,1985-03-20,3,NA,CB,Duke Lemur Center,1,138,1984-11-02,11,5556,OLYMPIAS,LCAT,1980-06-27,4.35,5613,YODA,LCAT,1981-04-21,3.54,2017-10-21,32.61,NA,NA,32.61,3,NA,3073.5,1987-10-13,10,937,133.86,30.81,30,2.57,NA,NA,NA,10966,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,5977,N,M,LYCUS,N,1411,1985-03-30,3,NA,CB,Duke Lemur Center,2,138,1984-11-12,11,2583,SAPPHO,LCAT,1977-03-11,7.68,5885,TIMON,LCAT,1979-03-12,5.68,2013-08-21,28.41,NA,NA,28.41,NA,NA,1738,1986-02-05,2,312,44.57,10.26,10,0.85,NA,NA,NA,10059,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5978,N,M,PHARAX,N,1412,1985-03-30,3,NA,CB,Duke Lemur Center,2,138,1984-11-12,11,2583,SAPPHO,LCAT,1977-03-11,7.68,5885,TIMON,LCAT,1979-03-12,5.68,NA,NA,NA,4.96,4.96,NA,NA,1729,1986-02-05,2,312,44.57,10.26,10,0.85,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,5984,N,F,CLEIS,N,1418,1985-04-09,4,NA,CB,Duke Lemur Center,2,138,1984-11-22,11,4534,LETHE,LCAT,1979-03-13,5.7,5615,PEGASUS,LCAT,1977-04-23,7.59,2010-09-23,25.47,NA,NA,25.47,18,NA,2624,1987-08-28,8,871,124.43,28.64,28,2.39,NA,NA,NA,8427,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
EMON,6030,N,M,GUSTAVO,N,72,1985-06-21,6,NA,CB,Duke Lemur Center,1,127,1985-02-14,2,5724,ELENA,EMON,1982-10-01,2.38,5722,Sancho,EMON,1982-10-01,2.38,2003-11-22,18.43,NA,NA,18.43,2,NA,559,1985-09-27,9,98,14,3.22,3,0.27,NA,NA,NA,6630,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6033,N,M,SIXTO,N,73,1985-11-05,11,NA,CB,Duke Lemur Center,1,127,1985-07-01,7,5719,CARMEN,EMON,1978-10-01,6.75,5718,MANUEL,EMON,1977-10-01,7.75,2012-06-29,26.67,NA,NA,26.67,1,NA,77.5,1985-11-06,11,1,0.14,0.03,0,0,NA,NA,NA,9732,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
ERUB,6038,N,F,Dido II,N,14,1984-10-01,10,Y,WB,Madagascar /,NA,120,1984-06-03,6,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2018-07-25,33.84,NA,NA,33.84,11,Y,1897,1986-12-03,12,793,113.29,26.07,26,2.17,131,254,0.52,11557,1.78,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6057,N,M,CALLIAS,N,1515,1986-03-21,3,NA,CB,Duke Lemur Center,2,138,1985-11-03,11,5585,THERA,LCAT,1981-03-27,4.61,582,ROMULUS,LCAT,1971-03-09,14.67,2003-11-20,17.68,NA,NA,17.68,NA,NA,1843,1987-02-23,2,339,48.43,11.15,11,0.93,NA,NA,NA,6114,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6076,N,M,RAFAEL,N,74,1986-04-04,4,NA,CB,Duke Lemur Center,1,127,1985-11-28,11,5721,EVITA,EMON,1981-10-01,4.16,5720,JUAN,EMON,1978-10-01,7.16,NA,NA,NA,25.42,25.42,1,NA,1376,1987-05-07,5,398,56.86,13.08,13,1.09,NA,NA,NA,NA,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6077,N,F,PIEDAD,N,75,1986-04-04,4,NA,CB,Duke Lemur Center,1,127,1985-11-28,11,5724,ELENA,EMON,1982-10-01,3.16,5722,Sancho,EMON,1982-10-01,3.16,2018-05-21,32.15,NA,NA,32.15,5,NA,1584,1987-11-17,11,592,84.57,19.46,19,1.62,NA,NA,NA,11143,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6102,N,F,Flor,N,77,1986-05-20,5,NA,CB,Duke Lemur Center,1,127,1986-01-13,1,5717,ESPERANZA,EMON,1977-10-01,8.29,5716,PABLO,EMON,1977-10-01,8.29,2015-12-14,29.59,NA,NA,29.59,2,NA,1443,1988-03-24,3,674,96.29,22.16,22,1.85,NA,NA,NA,10126,1.76,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUB,6120,N,M,APACHE,N,4,1980-10-01,10,Y,WB,Madagascar /,NA,120,1980-06-03,6,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1991-03-19,10.47,NA,NA,10.47,NA,Y,1716,1986-09-02,9,2162,308.86,71.08,71,5.92,NA,NA,NA,1659,1.78,adult,NP,NA,NA,NA,NA,NA,NA
ERUB,6121,N,M,Mohawk,N,5,1982-10-01,10,Y,WB,Madagascar /,NA,120,1982-06-03,6,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2015-07-31,32.85,NA,NA,32.85,11,Y,1680,1986-09-02,9,1432,204.57,47.08,47,3.92,NA,NA,NA,10559,1.78,adult,NP,NA,NA,NA,NA,NA,NA
ERUB,6122,N,F,SEMINOLE,N,6,1982-10-01,10,Y,WB,Madagascar /,NA,120,1982-06-03,6,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2006-02-15,23.39,NA,NA,23.39,7,Y,1852,1986-09-02,9,1432,204.57,47.08,47,3.92,NA,NA,NA,7106,1.78,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6124,N,F,NYSA,N,576,1976-07-14,7,NA,CB,Oregon Regional Primate Research Cntr,NA,138,1976-02-27,2,oi_02715,NA,NA,NA,NA,oi_00674,NA,NA,NA,NA,NA,NA,NA,14.14,14.14,10,NA,2702,1986-10-28,10,3758,536.86,123.55,123,10.3,NA,NA,NA,NA,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6125,N,M,CIMON,N,581,1976-08-05,8,NA,CB,Oregon Regional Primate Research Cntr,NA,138,1976-03-20,3,oi_05468,NA,NA,NA,NA,oi_02710,NA,NA,NA,NA,1987-02-06,10.51,NA,NA,10.51,NA,NA,2711,1986-10-28,10,3736,533.71,122.83,122,10.24,NA,NA,NA,101,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6126,N,M,HIPPIAS,N,711,1978-06-15,6,NA,CB,Oregon Regional Primate Research Cntr,NA,138,1978-01-28,1,oi_953,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-26,20.79,NA,NA,20.79,2,NA,2856,1986-10-28,10,3057,436.71,100.5,100,8.38,NA,NA,NA,4532,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6127,N,M,MEGACLES,N,1534,1986-03-25,3,NA,CB,Detroit Zoological Society,NA,138,1985-11-07,11,6124,NYSA,LCAT,1976-07-14,9.32,NA,NA,NA,NA,NA,1991-04-16,5.06,NA,NA,5.06,NA,NA,1376,1986-10-28,10,217,31,7.13,7,0.59,NA,NA,NA,1631,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,6128,N,F,APAMA,N,1533,1986-03-25,3,NA,CB,Detroit Zoological Society,NA,138,1985-11-07,11,6124,NYSA,LCAT,1976-07-14,9.32,NA,NA,NA,NA,NA,NA,NA,NA,3.76,3.76,NA,NA,1276,1986-10-28,10,217,31,7.13,7,0.59,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6131,N,M,JAVIER,N,78,1986-11-06,11,NA,CB,Duke Lemur Center,1,127,1986-07-02,7,5719,CARMEN,EMON,1978-10-01,7.76,5718,MANUEL,EMON,1977-10-01,8.76,1991-11-21,5.04,NA,NA,5.04,2,NA,649.5,1987-05-11,5,186,26.57,6.12,6,0.51,NA,NA,NA,1655,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,6138,N,M,EPHIALTES,N,1658,1987-03-18,3,NA,CB,Duke Lemur Center,2,138,1986-10-31,10,2543,LYSIS,LCAT,1976-03-29,10.6,MULT,NA,NA,NA,NA,1992-11-01,5.63,NA,NA,5.63,NA,NA,2227,1988-08-30,8,531,75.86,17.46,17,1.45,NA,NA,NA,1524,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6139,N,M,CROESUS,N,1659,1987-03-18,3,NA,CB,Duke Lemur Center,2,138,1986-10-31,10,2543,LYSIS,LCAT,1976-03-29,10.6,MULT,NA,NA,NA,NA,2017-05-01,30.14,NA,NA,30.14,NA,NA,2318,1988-08-30,8,531,75.86,17.46,17,1.45,NA,NA,NA,10471,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6140,N,F,KATINA,N,1663,1987-03-19,3,NA,CB,Duke Lemur Center,1,138,1986-11-01,11,5585,THERA,LCAT,1981-03-27,5.6,MULT,NA,NA,NA,NA,2004-08-16,17.42,NA,NA,17.42,18,NA,2810,1990-09-07,9,1268,181.14,41.69,41,3.47,NA,NA,NA,5092,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6141,N,F,MELINNA,N,1653,1987-03-17,3,NA,CB,Duke Lemur Center,1,138,1986-10-30,10,5819,ATOSSA,LCAT,1981-06-01,5.42,5613,YODA,LCAT,1981-04-21,5.53,NA,NA,NA,3.5,3.5,1,NA,1085,1987-08-28,8,164,23.43,5.39,5,0.45,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,6143,N,M,NEMO,N,1673,1987-03-23,3,NA,CB,Duke Lemur Center,1,138,1986-11-05,11,5510,ANEMONE,LCAT,1980-03-14,6.65,MULT,NA,NA,NA,NA,2010-10-17,23.59,NA,NA,23.59,1,NA,2711,1990-09-07,9,1264,180.57,41.56,41,3.46,NA,NA,NA,7345,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6149,N,M,PANTORES,N,1696,1987-04-04,4,NA,CB,Duke Lemur Center,2,138,1986-11-17,11,6124,NYSA,LCAT,1976-07-14,10.35,6126,HIPPIAS,LCAT,1978-06-15,8.43,NA,NA,NA,3.52,3.52,NA,NA,1026,1987-08-28,8,146,20.86,4.8,4,0.4,NA,NA,NA,NA,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,6150,N,M,JUBA,N,1697,1987-04-04,4,NA,CB,Duke Lemur Center,2,138,1986-11-17,11,6124,NYSA,LCAT,1976-07-14,10.35,6126,HIPPIAS,LCAT,1978-06-15,8.43,1990-05-21,3.13,NA,NA,3.13,NA,NA,980,1987-08-28,8,146,20.86,4.8,4,0.4,NA,NA,NA,997,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6156,N,M,CESAR,N,81,1987-04-10,4,NA,CB,Duke Lemur Center,1,127,1986-12-04,12,5724,ELENA,EMON,1982-10-01,4.18,5722,Sancho,EMON,1982-10-01,4.18,2018-04-24,31.06,NA,NA,31.06,NA,NA,1476,1988-07-28,7,475,67.86,15.62,15,1.3,NA,NA,NA,10862,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,6159,N,F,CLEOMENIS,N,1714,1987-04-15,4,NA,CB,Duke Lemur Center,2,138,1986-11-28,11,5984,CLEIS,LCAT,1985-04-09,1.64,5969,SELAUCIUS,LCAT,1985-03-20,1.69,2010-11-17,23.61,NA,NA,23.61,9,NA,886,1987-08-28,8,135,19.29,4.44,4,0.37,NA,NA,NA,8482,1.32,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6166,N,F,JACINTA,N,82,1987-04-19,4,NA,CB,Duke Lemur Center,1,127,1986-12-13,12,5717,ESPERANZA,EMON,1977-10-01,9.21,5716,PABLO,EMON,1977-10-01,9.21,NA,NA,NA,27.77,27.77,1,NA,1420,1988-06-29,6,437,62.43,14.37,14,1.2,NA,NA,NA,NA,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6172,N,M,JAIME,N,83,1987-04-25,4,NA,CB,Duke Lemur Center,2,127,1986-12-19,12,5952,CONCEPCION,EMON,1984-10-15,2.18,4504,PIERROT,EMON,1976-05-15,10.6,2002-02-11,14.81,NA,NA,14.81,2,NA,310,1987-07-05,7,71,10.14,2.33,2,0.19,NA,NA,NA,5335,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6188,N,M,CONCEPCION-A,N,84,1987-04-25,4,NA,CB,Duke Lemur Center,2,127,1986-12-19,12,5952,CONCEPCION,EMON,1984-10-15,2.18,4504,PIERROT,EMON,1976-05-15,10.6,1987-04-30,0.01,NA,NA,0.01,NA,NA,62,1987-04-29,4,4,0.57,0.13,0,0.01,NA,NA,NA,1,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,6191,N,M,AGNOSTES,N,1758,1987-06-28,6,NA,CB,Duke Lemur Center,1,138,1987-02-10,2,5668,BAUCIS,LCAT,1982-04-02,4.86,NA,NA,NA,NA,NA,2004-08-20,17.16,NA,NA,17.16,NA,NA,2669,1990-07-09,7,1107,158.14,36.39,36,3.03,NA,NA,NA,5156,1.32,adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6209,N,M,GLAUCON,N,1787,1988-03-14,3,NA,CB,Duke Lemur Center,1,138,1987-10-28,10,2543,LYSIS,LCAT,1976-03-29,11.59,MULT,NA,NA,NA,NA,1996-10-01,8.56,NA,NA,8.56,NA,NA,2556,1990-07-09,7,847,121,27.85,27,2.32,NA,NA,NA,2276,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6213,N,M,HESPER,N,1805,1988-03-19,3,NA,CB,Duke Lemur Center,1,138,1987-11-02,11,5585,THERA,LCAT,1981-03-27,6.61,MULT3,NA,NA,NA,NA,1992-08-18,4.42,NA,NA,4.42,NA,NA,2611,1990-03-21,3,732,104.57,24.07,24,2.01,NA,NA,NA,881,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6217,N,F,AGATHA,N,1834,1988-03-27,3,NA,CB,Duke Lemur Center,1,138,1987-11-10,11,5847,CORINNA,LCAT,1984-03-16,3.65,MULT,NA,NA,NA,NA,2001-05-01,13.1,NA,NA,13.1,1,NA,2653,1990-07-09,7,834,119.14,27.42,27,2.28,NA,NA,NA,3949,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
EMON,6218,N,F,ANA,N,88,1988-04-02,4,NA,CB,Duke Lemur Center,1,127,1987-11-27,11,5724,ELENA,EMON,1982-10-01,5.16,5722,Sancho,EMON,1982-10-01,5.16,2001-01-10,12.78,NA,NA,12.78,5,NA,61.5,1988-04-04,4,2,0.29,0.07,0,0.01,NA,NA,NA,4664,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6220,N,F,ROSA,N,89,1988-04-06,4,NA,CB,Duke Lemur Center,1,127,1987-12-01,12,5721,EVITA,EMON,1981-10-01,6.17,5720,JUAN,EMON,1978-10-01,9.17,1988-06-29,0.23,NA,NA,0.23,NA,NA,75,1988-04-11,4,5,0.71,0.16,0,0.01,NA,NA,NA,79,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6224,N,F,ARALES,N,90,1988-04-13,4,NA,CB,Duke Lemur Center,1,127,1987-12-08,12,5879,CHIQUITA,EMON,1984-04-12,3.66,5955,FIDEL,EMON,1985-01-13,2.9,NA,NA,NA,22.42,22.42,NA,NA,1643,1990-01-31,1,658,94,21.63,21,1.8,NA,NA,NA,NA,1.76,young_adult,NP,NA,NA,NA,NA,NA,NA
EMON,6226,N,M,JORGE,N,91,1988-04-15,4,NA,CB,Duke Lemur Center,1,127,1987-12-10,12,5952,CONCEPCION,EMON,1984-10-15,3.15,4504,PIERROT,EMON,1976-05-15,11.58,2018-08-11,30.34,NA,NA,30.34,3,NA,1988,1991-03-07,3,1056,150.86,34.72,34,2.89,NA,NA,NA,10019,1.76,young_adult,NP,NA,NA,NA,NA,NA,NA
EMON,6227,N,M,TOMAS,N,92,1988-04-15,4,NA,CB,Duke Lemur Center,1,127,1987-12-10,12,5715,ISABELLA,EMON,1978-10-01,9.2,5714,FERDINAND,EMON,1978-10-01,9.2,NA,NA,NA,30.67,30.67,NA,NA,315,1988-06-20,6,66,9.43,2.17,2,0.18,NA,NA,NA,NA,1.76,IJ,NP,NA,NA,NA,NA,NA,NA
LCAT,6229,N,F,Chloris,Y,1856,1988-04-17,4,NA,CB,Duke Lemur Center,2,138,1987-12-01,12,6124,NYSA,LCAT,1976-07-14,11.39,5667,PHILEMON,LCAT,1982-04-02,5.67,NA,NA,30.83,NA,30.83,10,NA,2429,1990-09-07,9,873,124.71,28.7,28,2.39,NA,NA,NA,NA,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUB,6230,N,M,ARAPAHOE,N,23,1988-04-21,4,NA,CB,Duke Lemur Center,2,120,1987-12-23,12,6038,Dido II,ERUB,1984-10-01,3.23,6121,Mohawk,ERUB,1982-10-01,5.23,NA,NA,NA,13.19,13.19,2,NA,328,1988-06-17,6,57,8.14,1.87,1,0.16,NA,NA,NA,NA,1.78,IJ,NP,NA,NA,NA,NA,NA,NA
ERUB,6231,N,F,Cheyenne,Y,24,1988-04-21,4,NA,CB,Duke Lemur Center,2,120,1987-12-23,12,6038,Dido II,ERUB,1984-10-01,3.23,6121,Mohawk,ERUB,1982-10-01,5.23,NA,NA,30.82,NA,30.82,3,NA,325,1988-06-17,6,57,8.14,1.87,1,0.16,NA,NA,NA,NA,1.78,IJ,NP,NA,NA,NA,NA,NA,NA
EMON,6237,N,M,FABIO,N,93,1988-04-23,4,NA,CB,Duke Lemur Center,1,127,1987-12-18,12,5719,CARMEN,EMON,1978-10-01,9.22,5718,MANUEL,EMON,1977-10-01,10.22,2010-12-15,22.66,NA,NA,22.66,2,NA,1560,1992-05-07,5,1475,210.71,48.49,48,4.04,NA,NA,NA,6796,1.76,adult,NP,NA,NA,NA,NA,NA,NA
EMON,6246,N,F,BETI,N,94,1988-05-06,5,NA,CB,Duke Lemur Center,1,127,1987-12-31,12,5717,ESPERANZA,EMON,1977-10-01,10.25,5716,PABLO,EMON,1977-10-01,10.25,1998-11-30,10.58,NA,NA,10.58,2,NA,2088,1990-06-26,6,781,111.57,25.68,25,2.14,NA,NA,NA,3079,1.76,young_adult,NP,NA,NA,NA,NA,NA,NA
EMON,6263,N,F,Moheli,N,85,1987-05-13,5,NA,CB,Philadelphia Zoo,NA,127,1987-01-06,1,oi_100074,NA,NA,NA,NA,oi_101359,NA,NA,NA,NA,2014-10-04,27.41,NA,NA,27.41,9,NA,1525,1989-03-20,3,677,96.71,22.26,22,1.85,NA,NA,NA,9329,1.76,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6268,N,M,BRENNUS,N,1917,1989-03-08,3,NA,CB,Duke Lemur Center,1,138,1988-10-21,10,2543,LYSIS,LCAT,1976-03-29,12.57,5938,DION,LCAT,1984-05-30,4.4,NA,NA,NA,29.65,29.65,2,NA,2243,1990-09-07,9,548,78.29,18.02,18,1.5,NA,NA,NA,NA,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6269,N,M,AJAX,N,1921,1989-03-10,3,NA,CB,Duke Lemur Center,1,138,1988-10-23,10,5585,THERA,LCAT,1981-03-27,7.58,MULT8,NA,NA,NA,NA,NA,NA,NA,19.62,19.62,NA,NA,2470,1990-09-07,9,546,78,17.95,17,1.5,NA,NA,NA,NA,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6271,N,M,IKAROS,N,1931,1989-03-14,3,NA,CB,Duke Lemur Center,2,138,1988-10-27,10,6124,NYSA,LCAT,1976-07-14,12.3,NA,NA,NA,NA,NA,1992-09-19,3.52,NA,NA,3.52,NA,NA,2070,1990-09-07,9,542,77.43,17.82,17,1.48,NA,NA,NA,743,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6276,N,F,Dory,N,1933,1989-03-15,3,NA,CB,Duke Lemur Center,2,138,1988-10-28,10,5984,CLEIS,LCAT,1985-04-09,3.56,NA,NA,NA,NA,NA,2015-06-09,26.25,NA,NA,26.25,10,NA,2143,1990-09-07,9,541,77.29,17.79,17,1.48,NA,NA,NA,9041,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6277,N,F,ALICE,N,1934,1989-03-15,3,NA,CB,Duke Lemur Center,2,138,1988-10-28,10,5984,CLEIS,LCAT,1985-04-09,3.56,5969,SELAUCIUS,LCAT,1985-03-20,3.61,2006-12-11,17.75,NA,NA,17.75,2,NA,1816,1990-09-07,9,541,77.29,17.79,17,1.48,NA,NA,NA,5939,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
LCAT,6280,N,F,NINNA,N,1935,1989-03-15,3,NA,CB,Duke Lemur Center,1,138,1988-10-28,10,5847,CORINNA,LCAT,1984-03-16,4.62,MULT3,NA,NA,NA,NA,2016-05-19,27.2,NA,NA,27.2,10,NA,2411,1990-09-07,9,541,77.29,17.79,17,1.48,NA,NA,NA,9386,1.32,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUB,6290,N,M,CHEROKEE,N,29,1989-03-28,3,NA,CB,Duke Lemur Center,1,120,1988-11-28,11,6038,Dido II,ERUB,1984-10-01,4.16,6121,Mohawk,ERUB,1982-10-01,6.16,2002-10-28,13.59,NA,NA,13.59,NA,NA,2283.5,1992-02-04,2,1043,149,34.29,34,2.86,NA,NA,NA,3919,1.78,young_adult,NP,NA,NA,NA,NA,NA,NA
